Indicativo,NOMBRE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,media anual,Tipo
3191E,COLMENAR VIEJO/FAMET,6.0,3.0,3.0,8.0,2.0,3.0,3.0,2.5,4.0,2.0,9.0,6.0,4.29,NW_55
3129,MADRID/BARAJAS,7.0,2.7,2.6,8.0,6.0,7.0,7.0,2.5,3.6,2.0,10.1,6.0,5.38,NW_55
3196,MADRID/CUATRO VIENTOS,6.0,2.0,1.0,7.0,3.0,6.0,1.0,2.0,1.0,3.0,7.0,7.2,3.85,NW_55
3200,MADRID/GETAFE,5.0,3.0,2.0,8.0,3.2,4.0,2.0,2.0,5.0,2.0,11.0,5.0,4.35,NW_55
3195,"MADRID,RETIRO",7.0,2.7,1.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,7.2,2.24,NW_55
3175,MADRID/TORREJÓN,7.0,3.0,3.0,7.0,3.0,6.0,5.0,5.0,4.0,2.0,8.0,7.2,5.02,NW_55
2462,"NAVACERRADA,PUERTO",11.0,2.7,6.0,17.0,3.2,14.0,6.0,2.5,6.0,2.0,24.0,12.0,8.87,NW_55
3191E,COLMENAR VIEJO/FAMET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,3.0,0.27,NW_91
3129,MADRID/BARAJAS,0.7,0.0,0.2,0.8,0.0,0.0,1.0,0.0,0.0,0.3,0.3,0.0,0.27,NW_91
3196,MADRID/CUATRO VIENTOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.23,NW_91
3200,MADRID/GETAFE,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.23,NW_91
3195,"MADRID,RETIRO",0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.29,NW_91
3175,MADRID/TORREJÓN,0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,2.75,0.4,NW_91
2462,"NAVACERRADA,PUERTO",3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.3,2.0,7.0,1.44,NW_91
